FRATAR;SRV.DS;;;;CBK;tech
FTPSRV;SRV.DS;;;;CBK;Markets
Factoring;SRV.MS;;;;CBK;TRADEBANKING
FactoringDashboard;CA.APP;;;;CBK;TradeBanking
FeatureToggleRuleManagement;CA.APP;;;;CBK;ITMANAGEMENT
FichaCliente;SRV.MS;;;;CBK;partyReference
FileUpload;CA.WID;;;;CBK;ARCH
FinanInstrumentReferDataManag;CA.APP;;;;CBK;MarketData
FinanInstrumentReferDataManag;SRV.MS;;;;CBK;MarketData
FinancialAccounting;SRV.MS;;;;CBK;RegulationAndCompliance
FinancialAgents;CA.APP;;;;CBK;EXTERNALAGENCY
FinancialGateway;SRV.LIB;;;;CBK;PAYMENTS
FinancialStatements;SRV.MS;;;;CBK;Finance
ForeignCashRequest;CA.APP;;;;CBK;PAYMENTS
Forfaits;CA.APP;;;;CBK;SALES
FraudClaims;CA.APP;;;;CBK;financeAndRiskManagement
FraudClaims;SRV.MS;;;;CBK;financeAndRiskManagement
FraudEvaluation;SRV.MS;;;;CBK;FraudEvaluation
FraudManagement;CA.APP;;;;CBK;ITMANAGEMENT
FraudManagement;SRV.MS;;;;CBK;ITMANAGEMENT
FraudulentTransactionClaims;CA.APP;;;;CBK;ITMANAGEMENT
FunctionalDomainGovernance;CA.APP;;;;CBK;ITManagement
FundsPorfolio;CA.APP;;;;CBK;INVESTMENTMANAGEMENT
FuneralInsuranceNonLife;SRV.MS;;;;CBK;INSURANCEPRODUCTS
GARGAR;SRV.DS;;;;CBK;COLLATERALADMINISTRATION
GBR;SRV.MS;;;;CBK;RatingsScorings
GDDBCK;SRV.DS;;;;CBK;DocumentManagementAndArchive
GDDBOX;SRV.DS;;;;CBK;DocumentManagementAndArchive
GDPBCK;SRV.DS;;;;CBK;REGULATIONCOMPLIANCE
GDPGDP;SRV.DS;;;;CBK;REGULATIONCOMPLIANCE
GDPRRightToObject;CA.APP;;;;CBK;REGULATIONCOMPLIANCE
GDPRightRequests;SRV.MS;;;;CBK;REGULATIONCOMPLIANCE
GEOBKD;SRV.DS;;;;CBK;SERVICING
GERECI;SRV.DS;;;;CBK;cardBillingAndPaymentsBPI
GESCOM;SRV.DS;;;;CBK;customerRelationshipManagement
GIMGIM;SRV.DS;;;;CBK;collections
GIRECI;SRV.DS;;;;CBK;Payments
GLIGLI;SRV.DS;;;;CBK;CreditFacility
GOBPRO;SRV.DS;;;;CBK;RegulationCompliance
GOLDEN;SRV.DS;;;;CBK;goldenrules
GOLDENSUMMIT;CA.APP;;;;CBK;DEMO
GRACOV;SRV.DS;;;;CBK;GrantsAndCovenants
GSAGSA;SRV.DS;;;;CBK;GrantsAndCovenants
GTSBCK;SRV.DS;;;;CBK;insuranceProducts
GUICOM;SRV.DS;;;;CBK;REGULATIONCOMPLIANCE
GUSALI;SRV.DS;;;;CBK;SAVINGS
GdprPortero;SRV.MS;;;;CBK;regulatoryCompliance
GeneralitatTaxes;CA.APP;;;;CBK;CONSUMERSERVICES
GestionDocsOnBoardingPersona;SRV.MS;;;;CBK;PartyReferenceDataDirectory
GlobalPositionCBI;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
GlobalPositionInternational;CA.APP;;;;CBK;CUSTOMERMANAGEMENT
GrantsCovenants;CA.APP;;;;CBK;GrantsAndCovenants
GuaranteedSavingsLifeInsurance;SRV.MS;;;;CBK;SAVINGS
HUBPAYTS;SRV.MS;;;;CBK;CardNetworkParticipantFacility
HUBPAYVTS;SRV.MS;;;;CBK;CardNetworkParticipantFacility
HWCOMMONS;CA.LAPP;;;;CBK;ECHANNELS
HWListaCuentas;CA.APP;;;;CBK;demos
HireWalletsService;CA.APP;;;;CBK;Deposits
HolderGroup;CA.APP;;;;CBK;InvestmentManagement
HomeInsurance;CA.APP;;;;CBK;INSURANCEPRODUCTS
IANEUT;SRV.MS;;;;CBK;Tech
ICOSustainabilityAnnex;CA.APP;;;;CBK;CREDITPOSITIONKEEPING
IDECUA;SRV.DS;;;;CBK;idea
IDEGAR;SRV.DS;;;;CBK;idea
IDEGPL;CA.WID;;;;CBK;idea
IDEGSA;SRV.DS;;;;CBK;idea
IDEINS;SRV.DS;;;;CBK;idea
IDESIS;CA.APP;;;;CBK;idea
IDESIS;SRV.DS;;;;CBK;idea
IGCIGC;SRV.DS;;;;CBK;BUSINESSANALYSIS
INFCBI;SRV.DS;;;;CBK;ITMANAGEMENT
INFJUR;SRV.DS;;;;CBK;collections
INIPAG;SRV.DS;;;;CBK;paymentInitiation
INPOAD;SRV.DS;;;;CBK;INVESTMENTMANAGEMENT
INTAUD;SRV.DS;;;;CBK;internalAudit
INTAUD;SRV.DS;Questionarios;497;ArchiveAndDocumentManagement;CBK;internalAudit
INTERNET;CA.CNT;;;;CBK;arch
INTRANET;CA.CNT;;;;CBK;arch
ITFRAU;SRV.DS;;;;CBK;ITMANAGEMENT
ITInfraestructureProductsNLI;SRV.LIB;;;;CBK;ITMANAGEMENT
ITMBCC;SRV.DS;;;;CBK;ITMANAGEMENT
ITSSTM;SRV.DS;;;;CBK;ITManagement
ITSecurityAuthorization;ARQ.LIB;;;;CBK;ITMANAGEMENT
ITSecurityFraud;ARQ.MAP;;;;CBK;ITMANAGEMENT
ITSecurityFraud;ARQ.MIA;;;;CBK;ITMANAGEMENT
ITSecurityFraudEvaluation;SRV.MS;;;;CBK;ITMANAGEMENT
ITSecurityOtpAut;ARQ.MIA;;;;CBK;ITMANAGEMENT
ITSecurityProductsNLI;SRV.LIB;;;;CBK;ITMANAGEMENT
